Tree,Logger,st,en,Reason
7,2,6/4/2021 7:30,6/22/2021 12:30,Loss of contact
7,2,9/18/2021 14:30,9/18/2021 18:30,Unknown spike
7,1,9/18/2021 14:30,9/18/2021 18:30,Unknown spike
7,2,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
7,1,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
6,2,9/17/2021 7:00,9/25/2021 7:30,Loss of contact
6,2,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
6,1,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
6,2,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
6,1,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
6,2,10/20/2021 5:00,10/20/2021 9:00,Unknown spike
6,1,10/20/2021 5:00,10/20/2021 9:00,Unknown spike
5,2,9/17/2021 7:00,9/25/2021 7:30,Loss of contact
5,2,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
5,1,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
5,2,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
5,1,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
5,2,10/20/2021 5:00,10/20/2021 9:00,Unknown spike
5,1,10/20/2021 5:00,10/20/2021 9:00,Unknown spike
4,2,5/23/2021 7:00,6/22/2021 20:00,"Poor contact, very spiky"
4,2,7/7/2021 16:00,7/14/2021 16:00,Loss of contact
4,2,8/14/2021 15:30,8/19/2021 16:30,Loss of contact
4,2,9/18/2021 15:00,9/18/2021 15:30,Random point
4,2,10/7/2021 7:00,11/6/2021 15:00,"Poor contact, very spiky"
4,1,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
4,2,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
4,1,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
4,2,10/20/2021 5:00,10/20/2021 9:00,Unknown spike
4,1,10/20/2021 5:00,10/20/2021 9:00,Unknown spike
3,1,6/15/2021 12:30,6/21/2021 16:30,Loss of contact
3,2,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
3,1,10/16/2021 6:00,10/16/2021 9:30,Unknown spike
3,2,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
3,1,10/19/2021 4:00,10/19/2021 9:00,Unknown spike
3,2,10/20/2021 6:00,10/20/2021 9:00,Unknown spike
3,1,10/20/2021 6:00,10/20/2021 9:00,Unknown spike
3,1,11/5/2021 6:00,11/5/2021 9:00,Unknown spike
2,2,5/23/2021 15:30,6/21/2021 6:00,Loss of contact
2,2,7/14/2021 7:00,7/16/2021 3:30,"Poor contact, very spiky"
2,2,10/16/2021 6:00,10/16/2021 10:30,Unknown spike
2,2,10/19/2021 3:00,10/19/2021 11:00,Unknown spike
2,2,10/20/2021 5:00,10/20/2021 11:00,Unknown spike
2,2,11/5/2021 7:00,11/5/2021 7:30,Unknown spike
2,1,9/13/2021 13:00,9/24/2021 14:00,Loss of contact
1,1,6/21/2021 17:00,6/26/2021 15:00,"Poor contact, very spiky"
1,2,8/20/2021 19:30,9/24/2021 16:30,Loss of contact
1,1,10/3/2021 16:00,11/6/2021 15:00,Loss of contact
1,2,10/4/2021 11:00,11/6/2021 15:00,Loss of contact
